short,long,atr_len,stop_atr,take_profit_r1,take_profit_frac1,breakeven_r,take_profit_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
30,280,50,2.75,1.0,0.65,0.25,2.25,3.5,False,True,False,14,4.2601656014283975,0.08777012240093285,5.111617753192645,0.05111617753192645,1.7170713194685352,1.085222471081735,1.6624236920242212,57.142857142857146,31.5,333.962590289741,0.10860245317573633,483.97164909405905,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.25,4.0,False,True,False,14,4.205850788915541,0.0866276748364565,5.112356609867766,0.051123566098677665,1.6944763725842118,1.0740115531881065,1.6538351440442471,57.142857142857146,31.642857142857142,334.70642839258323,0.10898947865853363,484.5409669578402,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.0,3.5,False,True,False,14,4.103893666376389,0.08448476211799671,5.10432531827144,0.051043253182714396,1.655160219031791,1.0505639204385417,1.6398104713355504,57.142857142857146,31.21428571428571,330.23248831766136,0.10770523524679018,478.3533119020966,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.0,4.0,False,True,False,14,4.049803094628405,0.08334876394772506,5.105046196417796,0.05105046196417796,1.632674039388924,1.0393128710565465,1.6312427135800558,57.142857142857146,31.357142857142858,330.96195844040506,0.10808617030077847,478.90863855503994,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.6,0.25,2.25,3.5,False,True,False,14,4.033723436186701,0.08301117826202087,5.111302822181868,0.05111302822181868,1.6240708318390298,1.0313265204033493,1.6281774015070798,57.142857142857146,31.5,329.7017499205937,0.10856551825006602,484.3782979636463,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.6,0.25,2.25,4.0,False,True,False,14,3.971192411027259,0.08169886979066443,5.112142508994687,0.05112142508994687,1.5981336523173466,1.0182277845496854,1.6182856402628498,57.142857142857146,31.642857142857142,330.60683655705753,0.10900655141230906,485.02614665354173,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.6,0.25,2.0,3.5,False,True,False,14,3.853206249973482,0.0792249356246586,5.103139868564901,0.051031398685649015,1.5524743131710033,0.9914998874770481,1.6018481194472276,57.142857142857146,31.21428571428571,325.6894839052458,0.10756778855150353,478.0812460548055,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.25,3.5,False,True,False,14,3.88763022082323,0.07994644251234395,5.181324146303748,0.05181324146303748,1.5429731909241025,0.9968960966516425,1.5922982994343835,57.142857142857146,31.5,369.761292361598,0.12046039825655101,483.97164909405905,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.6,0.25,2.0,4.0,False,True,False,14,3.7909735631194783,0.077921190779072,5.1039564488568026,0.05103956448856803,1.5266821251291238,0.9783402344942741,1.5919844325908683,57.142857142857146,31.357142857142858,326.5753290802342,0.10800100566123884,478.7110925690394,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.25,4.0,False,True,False,14,3.832666305723633,0.07879454584351642,5.182143149833415,0.051821431498334146,1.5205011433551259,0.9853147710059976,1.58378613951677,57.142857142857146,31.642857142857142,370.58206996572284,0.12088901598337305,484.5409669578402,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.0,3.5,False,True,False,14,3.735674423549299,0.0767633670130603,5.173240549238159,0.05173240549238159,1.4838545836490227,0.9626712202685053,1.57076799074626,57.142857142857146,31.21428571428571,365.6452002842852,0.11946736820899063,478.3533119020966,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
30,280,50,2.75,1.0,0.65,0.25,2.0,4.0,False,True,False,14,3.6809482250870134,0.07561815673596661,5.174039645856941,0.05174039645856941,1.4614916373228233,0.9510522713858195,1.562276444472631,57.142857142857146,31.357142857142858,366.4501821761637,0.11988925502209628,478.90863855503994,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
