short,long,atr_len,stop_atr,take_profit_r1,take_profit_frac1,breakeven_r,take_profit_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
52,300,50,2.75,1.0,0.65,0.25,2.0,3.5,False,True,False,11,1.0934121027460242,0.022678724117114912,4.915326163154281,0.04915326163154281,0.4613879804582783,0.31059735973068947,1.134770461019863,72.72727272727273,32.63636363636363,509.6843393949555,0.20896398689674217,890.2818755770877,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
52,300,50,2.75,1.0,0.65,0.25,2.0,3.5,False,True,False,11,0.5489549410776453,0.011353263564150451,5.251584216115962,0.05251584216115962,0.21618740358975433,0.1770371818924307,1.0665576308839473,72.72727272727273,32.63636363636363,563.315700873846,0.23156482678897225,890.2818755770877,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
52,300,50,2.75,1.0,0.65,0.25,2.0,3.5,False,True,False,11,0.010217314119618095,0.0002107074583248547,5.584657306361594,0.055846573063615935,0.0037729702426831757,0.04482224280923368,1.0012191618025161,72.72727272727273,32.63636363636363,616.3813082160034,0.2540469056823737,890.2818755770877,1.1,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
