short,long,atr_len,stop_atr,take_profit_r1,take_profit_frac1,breakeven_r,take_profit_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
65,460,50,2.75,1.0,0.6,1.0,2.25,5.0,False,True,False,7,0.34443723061218406,0.007323405256352888,4.843223355278361,0.0484322335527836,0.15120932319529543,0.13249660109064357,1.055551407801406,57.142857142857146,24.57142857142857,246.42409396897222,0.15799112067481397,633.8318711910209,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.25,4.5,False,True,False,7,0.26854838488881794,0.0057074338234381905,4.898583940663439,0.04898583940663439,0.11651191227041023,0.11187018002605391,1.043098942304634,57.142857142857146,24.57142857142857,254.04720440248803,0.16294116683521526,653.9242275074076,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.25,5.0,False,True,False,7,0.07893118949397832,0.001675735044413429,5.036910019527344,0.05036910019527344,0.033269108201592956,0.06033575659638894,1.0125138398375195,57.142857142857146,24.57142857142857,273.0943215259494,0.17532608867635752,633.8318711910209,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.25,4.5,False,True,False,7,-0.0049470363899854425,-0.00010497780033769111,5.0980998588451385,0.050980998588451384,-0.002059155435246251,0.037540970535218376,0.9992214753305525,42.857142857142854,24.57142857142857,281.5198654201589,0.18081223299694796,653.9242275074076,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.0,5.0,False,True,False,7,-0.04089761678833383,-0.0008676863354987185,4.846191773573856,0.04846191773573856,-0.01790449854316924,0.0255849721779637,0.9933805599731989,57.142857142857146,24.42857142857143,246.3042013953421,0.15838073707850328,637.330144076031,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.0,4.5,False,True,False,7,-0.10820619826139592,-0.00229484223007137,4.895436384690326,0.048954363846903264,-0.046877173958344405,0.006439660157460285,0.9825630211755466,57.142857142857146,24.42857142857143,253.07072554749362,0.16278742437148924,655.2713132816627,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.7,1.0,2.25,5.0,False,True,False,7,-0.11093396353187927,-0.002352656782100726,4.8145259948260675,0.048145259948260674,-0.0488658028771474,0.004924944209117034,0.9820211869566874,57.142857142857146,24.57142857142857,251.28288735343108,0.15844288456487415,636.5158331879919,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.25,5.0,False,True,False,7,-0.18520372877674163,-0.003926111931367382,5.22959965363371,0.052295996536337104,-0.07507480861636093,-0.01144112731460943,0.9713193296488869,42.857142857142854,24.57142857142857,299.62648448332635,0.192617945926592,633.8318711910209,1.1,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.7,1.0,2.25,4.5,False,True,False,7,-0.17276110939677894,-0.003662598208081347,4.859599357940602,0.04859599357940602,-0.07536831615751716,-0.01285707876738693,0.9721108847348309,57.142857142857146,24.57142857142857,257.49489277830446,0.16241068314839197,652.64646127565,0.9,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.25,4.5,False,True,False,7,-0.27698656967560964,-0.005868779286420822,5.2965570998400135,0.05296557099840014,-0.1108036631304908,-0.0363790049064311,0.9574513852807587,42.857142857142854,24.57142857142857,308.8459262747236,0.19863748487505273,653.9242275074076,1.1,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.0,5.0,False,True,False,7,-0.3060522943270189,-0.006483563729137387,5.040186655513415,0.05040186655513416,-0.1286373734203886,-0.04984433116226459,0.9513069284661303,57.142857142857146,24.42857142857143,272.96007819384386,0.17575787200524995,637.330144076031,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,460,50,2.75,1.0,0.6,1.0,2.0,4.5,False,True,False,7,-0.3804466187836806,-0.008056201227446547,5.094616291021931,0.05094616291021931,-0.15813165834772908,-0.07101122811232767,0.9398739875326849,42.857142857142854,24.42857142857143,280.43886009080086,0.18064179933496982,655.2713132816627,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
