short,long,stop_atr,atr_len,take_profit_r1,take_profit_frac1,take_profit_r,breakeven_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
58,336,2.75,50,1.0,0.7,1.5,1.0,4.5,False,True,False,11,5.987043699047318,0.12816031633789993,2.25076752596806,0.0225076752596806,5.694071682626481,1.068546546257531,2.126134476390085,72.72727272727273,32.81818181818182,465.1328713567248,0.19054776031417708,608.7235808403931,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.5,1.25,5.0,False,True,False,11,5.898193996431109,0.12619985314101712,2.269254588431952,0.022692545884319522,5.561291085819543,1.0184161684536115,2.103963956045139,72.72727272727273,42.54545454545454,482.41062094535863,0.19977104986554214,629.8346046514863,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.75,1.0,4.5,False,True,False,11,5.874551925555279,0.1256784897149068,2.294545378874448,0.02294545378874448,5.477271919396789,1.0361346834868366,2.086499953095182,72.72727272727273,36.18181818181818,464.4363318058313,0.1803689505368645,658.3708756536032,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.5,1.0,5.0,False,True,False,11,5.788635586872606,0.12378488435788548,2.2715302260410706,0.022715302260410707,5.449405116374946,1.0162001998554882,2.0806602637615645,72.72727272727273,32.909090909090914,483.06810436279596,0.19816848106801796,633.0357684525035,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,1.5,1.25,5.0,False,True,False,11,5.758798126167275,0.12312764970625811,2.265421008526123,0.02265421008526123,5.435089073636014,0.9694490475167352,2.0263473052652103,63.63636363636363,42.54545454545454,473.2783758495324,0.19970436306358952,625.832406682564,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.5,1.25,4.5,False,True,False,11,5.656321871065666,0.1208719044494948,2.2465414036758986,0.022465414036758988,5.380355076105804,0.9816914250942249,2.0684761403431224,72.72727272727273,33.0,460.74436543387327,0.18913280684731618,605.8866183723851,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.75,1.25,5.0,False,True,False,11,5.807301074562346,0.12419613335382818,2.3115199136116953,0.023115199136116954,5.372920761897078,0.9928323026802341,2.0667109947888926,63.63636363636363,45.90909090909091,479.7031987731883,0.18859497134696734,677.6884490067297,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.0,4.5,False,True,False,11,5.771432176531234,0.12340591770757348,2.3310767569998654,0.023310767569998656,5.293944840597996,0.9915807902432081,2.051616560919358,72.72727272727273,36.27272727272727,493.9979446733237,0.19181108005462508,699.908921510244,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,1.5,1.0,4.5,False,True,False,11,5.8137310060692835,0.12433781942720068,2.3563350204058913,0.023563350204058912,5.276746233045539,1.0151639946251754,2.0936089022425897,72.72727272727273,32.81818181818182,456.33780752978254,0.19046441902326386,607.5914716499444,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,1.75,1.0,5.0,False,True,False,11,5.701528741715447,0.12186672534683596,2.313915042097257,0.02313915042097257,5.266689706826052,0.9908226722898789,2.047179752085845,72.72727272727273,36.27272727272727,479.9186401640095,0.1866322308901456,681.0492210992778,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,1.75,1.0,4.5,False,True,False,11,5.647519386093554,0.12067825041169655,2.30362746004599,0.0230362746004599,5.238618331511264,0.9633112772168888,2.040548814018052,72.72727272727273,36.18181818181818,456.7272581411472,0.18316550963175526,669.4399575041144,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.25,5.0,False,True,False,11,5.720336394816022,0.12228074055114235,2.345862357723035,0.02345862357723035,5.212613610878336,0.9548208160925449,2.0321880262278813,63.63636363636363,46.0,507.65475987517993,0.19952822686755234,716.6913709715119,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,1.75,1.25,5.0,False,True,False,11,5.616512950931464,0.11999624906687134,2.3174843315443296,0.023174843315443297,5.177866682140976,0.9262805230398184,1.9777443158069612,63.63636363636363,45.90909090909091,471.45940431143185,0.19143448922493037,685.0216793807035,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
