short,long,stop_atr,atr_len,take_profit_r1,take_profit_frac1,take_profit_r,breakeven_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
58,336,2.75,50,1.0,0.6,2.25,1.0,4.5,False,True,False,11,5.993338307103549,0.12829927344986203,2.364131455212899,0.02364131455212899,5.426909454081444,0.9883610063350274,2.0733882527968253,72.72727272727273,36.45454545454546,504.89376673043967,0.20149598852747186,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.5,2.25,1.0,4.5,False,True,False,11,5.905770968638335,0.1263669697011529,2.3696585433526383,0.02369658543352638,5.332707957255584,0.9337002768595467,2.0536900318704387,72.72727272727273,36.45454545454546,503.65765387746,0.20306071484046076,740.8017784137372,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.0,1.0,4.5,False,True,False,11,5.6001226637841315,0.1196358237295907,2.3424019335749646,0.023424019335749648,5.1073994609884465,0.9286363515883354,2.0150963322109847,72.72727272727273,36.27272727272727,487.33350941110547,0.19529906679745207,713.1843191140326,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.0,1.25,5.0,False,True,False,11,5.59014745554985,0.11941649652558128,2.3531796411262356,0.023531796411262355,5.074686795625529,0.8995606924512815,1.9557752811465714,63.63636363636363,46.0,499.9732803534521,0.20284514673563087,725.1711262522347,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.25,1.25,4.5,False,True,False,11,5.548216157985443,0.11849478674855751,2.358324038392385,0.02358324038392385,5.0245337290176915,0.8790197171509613,1.973873071337196,63.63636363636363,36.63636363636363,499.2475107165224,0.1998007635616087,731.3738093447022,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.4,2.25,1.0,4.5,False,True,False,11,5.76789118986715,0.12332792302344608,2.4889697626554748,0.024889697626554748,4.954978757631345,0.8681698663001153,2.0285158000614687,72.72727272727273,36.45454545454546,507.0881993666843,0.2022119252519543,738.1475550326795,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.25,1.25,5.0,False,True,False,11,5.610437739585395,0.11986264707974725,2.4214980271323414,0.024214980271323412,4.949937837516827,0.87214283857993,1.9277942641018628,63.63636363636363,46.18181818181818,553.7443405130997,0.22412684538780966,801.4548635947293,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.0,1.0,5.0,False,True,False,11,5.459805861994519,0.1165526905248837,2.357449563606834,0.023574495636068338,4.944016293038365,0.8935075304117064,1.9843925016862063,72.72727272727273,36.36363636363637,499.21646317248513,0.20029327548109305,730.853693212084,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.5,1.0,4.5,False,True,False,11,5.630262768466837,0.12029865633985293,2.4412065564211494,0.024412065564211494,4.927836033515034,0.897688091620435,1.9809604570004993,72.72727272727273,37.0,562.7044144935884,0.224888363112768,823.5037050076096,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.5,2.0,1.0,4.5,False,True,False,11,5.382262613601925,0.1148507477562084,2.346394811826439,0.02346394811826439,4.894775047120409,0.8530259572737797,1.9734770153371302,72.72727272727273,36.27272727272727,485.04895853004894,0.19654749556716708,718.4078860826559,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.25,1.0,5.0,False,True,False,11,5.483542152000427,0.11707393056845516,2.4260082340235445,0.024260082340235443,4.825784551204411,0.8651162912647404,1.9611302197328258,72.72727272727273,36.54545454545454,552.7104814241825,0.22122162191474348,807.4667163396261,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.5,2.5,1.0,4.5,False,True,False,11,5.529640245541505,0.11808658733438104,2.457446797283131,0.02457446797283131,4.805255090972205,0.8425771637504833,1.9560695858122246,72.72727272727273,37.0,568.4169727569431,0.22957426409789194,841.5907183900594,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.5,2.0,1.0,5.0,False,True,False,11,5.254393495424738,0.11204717359351224,2.3591827256344664,0.023591827256344663,4.749406325166222,0.8219838730653816,1.9460408411634,72.72727272727273,36.36363636363637,495.3002351355137,0.20089821201684285,733.4322880599955,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
