short,long,atr_len,stop_atr,take_profit_r1,take_profit_frac1,breakeven_r,take_profit_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt,probe_fixed,probe_tp_pct,probe_sl_pct,probe_slip_pct,probe_tie
50,300,50,2.5,1.0,0.5,1.25,2.25,4.0,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,774.0751098083593,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.6,0.75,2.0,4.0,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,779.8851656146653,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.5,1.25,1.75,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,771.7047575086093,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.5,1.0,0.6,1.25,2.25,4.0,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,795.5734211988256,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.5,1.0,0.5,1.0,2.25,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,793.0359557647115,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.6,1.0,2.25,4.0,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,797.1385615371436,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.5,0.75,2.25,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,803.6142082037405,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.5,1.0,0.5,0.75,2.0,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,798.4616412852189,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.5,1.0,0.6,1.0,1.75,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,790.3072770579622,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.6,1.0,2.0,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,765.536174618736,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
50,300,50,2.75,1.0,0.6,0.75,1.75,4.5,False,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,788.3532728997287,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00,True,2.0,1.0,0.1,tp_first
