short,long,atr_len,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,probe_fixed,probe_tp_pct,probe_sl_pct,probe_slip_pct,probe_tie,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
58,300,50,True,False,12,9.57842157842162,0.20379782426009552,4.0077310188899204,0.04007731018889921,5.085117321983958,1.4581917484003906,2.0905368516833644,66.66666666666667,31.833333333333332,0.0,0.19999999999999998,True,2.5,2.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,7.582417582417639,0.15974978779934212,3.154424737672909,0.03154424737672909,5.064308109541177,1.151680552108739,1.8937297615543276,58.333333333333336,29.416666666666668,0.0,0.19999999999999998,True,2.5,1.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,3.790209790209883,0.08165106136506495,1.620806633999242,0.01620806633999242,5.037680600035299,0.8201111092884064,2.1168678245511203,81.81818181818181,12.727272727272727,0.0,0.19999999999999998,True,1.0,1.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,5.287212787212902,0.11553491090276569,2.5141903794353646,0.025141903794353646,4.595312743528692,1.4480268898478084,2.9620018535681774,90.9090909090909,10.090909090909092,0.0,0.19999999999999998,True,1.0,2.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,10.277222777222851,0.2207678893981051,4.869682951596488,0.04869682951596488,4.533516690767888,1.592509439182797,2.271238801359297,72.72727272727273,35.72727272727273,0.0,0.19999999999999998,True,2.5,2.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,10.277222777222796,0.2194157561347141,4.869682951596523,0.04869682951596523,4.505750339717265,1.5858571917198108,2.2712388013592872,72.72727272727273,34.27272727272727,0.0,0.19999999999999998,True,2.5,2.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,7.782217782217886,0.1671238216321036,4.05946994182286,0.040594699418228596,4.1168877717335315,1.3998367955714037,2.181377009402506,72.72727272727273,25.72727272727273,0.0,0.19999999999999998,True,2.0,2.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,7.782217782217904,0.1661109458029646,4.059469941822876,0.040594699418228755,4.091936833713164,1.393105565023024,2.181377009402511,72.72727272727273,27.454545454545453,0.0,0.19999999999999998,True,2.0,2.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,4.289210789210865,0.09265216570043866,2.2970778832015126,0.022970778832015128,4.033479507943644,0.83963528703287,1.8952251876564061,63.63636363636363,10.909090909090908,0.0,0.19999999999999998,True,1.5,1.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,4.289210789210811,0.0926521657004371,2.297077883201514,0.022970778832015138,4.033479507943575,0.8396352870328577,1.8952251876563961,63.63636363636363,10.545454545454545,0.0,0.19999999999999998,True,1.5,1.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,4.289210789210774,0.09265216570043666,2.297077883201532,0.022970778832015322,4.0334795079435235,0.8396352870328391,1.8952251876563817,63.63636363636363,9.181818181818182,0.0,0.19999999999999998,True,1.5,1.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,4.2892107892109195,0.08993595089358286,2.3396056802272764,0.023396056802272764,3.844064478628134,0.5569300868917183,1.596816791770942,45.45454545454545,28.636363636363637,0.0,0.19999999999999998,True,2.5,1.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,4.289210789210884,0.08993595089358175,2.3396056802272938,0.023396056802272937,3.844064478628058,0.5569300868917075,1.5968167917709335,45.45454545454545,27.818181818181817,0.0,0.19999999999999998,True,2.5,1.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,5.7862137862139384,0.12299116108458863,3.2079854946548867,0.032079854946548865,3.8339063966939775,0.9668127679411441,1.8525169267000519,63.63636363636363,24.636363636363637,0.0,0.19999999999999998,True,2.0,1.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,7.283216783216849,0.15413750559858275,4.09347195515428,0.040934719551542806,3.7654467231539495,1.0415107546141924,1.8292197452229413,63.63636363636363,33.27272727272727,0.0,0.19999999999999998,True,2.5,2.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,3.5904095904097812,0.07726262981205312,2.091480878840641,0.02091480878840641,3.694159033138361,0.6021575807146514,1.8175614194722947,83.33333333333333,10.416666666666666,0.0,0.19999999999999998,True,1.0,2.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,5.287212787212848,0.11483012826891947,3.2110026703215784,0.032110026703215784,3.5761455239593234,1.0835459825895715,2.0386615641252286,72.72727272727273,11.818181818181818,0.0,0.19999999999999998,True,1.5,1.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,5.287212787212775,0.11483012826891814,3.2110026703216143,0.032110026703216145,3.5761455239592417,1.0835459825895464,2.0386615641252086,72.72727272727273,14.818181818181818,0.0,0.19999999999999998,True,1.5,1.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,4.788211788211974,0.10125327437818377,2.8581506868903648,0.028581506868903647,3.5426149797702293,0.7998508787663237,1.7994995829858529,54.54545454545455,23.363636363636363,0.0,0.19999999999999998,True,2.0,1.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,4.78821178821192,0.10125327437818243,2.8581506868903834,0.028581506868903834,3.5426149797701596,0.799850878766317,1.7994995829858473,54.54545454545455,22.09090909090909,0.0,0.19999999999999998,True,2.0,1.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,7.582417582417619,0.15974978779934168,4.991211027847145,0.04991211027847145,3.200621791145674,0.9635650812860744,1.703429101019471,66.66666666666667,32.666666666666664,0.0,0.19999999999999998,True,2.5,2.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,7.582417582417619,0.15974978779934168,5.302406441577423,0.05302406441577423,3.0127790006195263,0.9635650812860685,1.7034291010194675,66.66666666666667,33.25,0.0,0.19999999999999998,True,2.5,2.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,1.5944055944057254,0.03393699135577499,1.1743848926500493,0.011743848926500492,2.8897673640193657,-0.17541474075029723,1.3327773144287174,66.66666666666667,10.583333333333334,0.0,0.19999999999999998,True,1.0,1.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,5.586413586413745,0.11862170920050752,4.14357350224331,0.0414357350224331,2.8627876188581265,0.7825327969801333,1.6360327570518887,66.66666666666667,23.333333333333332,0.0,0.19999999999999998,True,2.0,2.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,3.09140859140869,0.06634350120647747,2.323767255037789,0.023237672550377887,2.8549976794211522,0.3761237961309603,1.5161801501251235,58.333333333333336,11.833333333333334,0.0,0.19999999999999998,True,1.5,1.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,2.7922077922078823,0.05982445235849099,2.107503787370315,0.021075037873703153,2.838640324966547,0.30492912104175435,1.6358052775250522,81.81818181818181,13.545454545454545,0.0,0.19999999999999998,True,1.0,2.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,6.285214785214903,0.13394219134251673,5.028333892554861,0.05028333892554861,2.6637489515331616,0.9202365097180306,1.7774482545567059,72.72727272727273,28.545454545454547,0.0,0.19999999999999998,True,2.0,2.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,6.285214785214903,0.13314170553589189,5.028380758870729,0.05028380758870729,2.6478047689807958,0.9151647647188345,1.7774482545567052,72.72727272727273,27.636363636363637,0.0,0.19999999999999998,True,2.0,2.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,4.089410589410745,0.08616264259524664,3.260280151832842,0.03260280151832842,2.642798734544585,0.49477401695188383,1.4820135413600461,58.333333333333336,21.916666666666668,0.0,0.19999999999999998,True,2.0,1.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,5.287212787212884,0.11077547565227364,4.266432620916968,0.04266432620916968,2.59644263709162,0.6996291376826943,1.6231969384751397,54.54545454545455,31.90909090909091,0.0,0.19999999999999998,True,2.5,1.5,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,5.087412587412619,0.10585969286057773,4.179005157211739,0.04179005157211739,2.5331314243031,0.5604886086339896,1.463375796178351,58.333333333333336,30.5,0.0,0.19999999999999998,True,2.5,2.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,2.0934065934067254,0.04468071321204281,1.8388901796777541,0.018388901796777542,2.4297651760733547,0.0408959899398036,1.41124521636741,75.0,12.166666666666666,0.0,0.19999999999999998,True,1.0,1.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,3.5904095904096907,0.07726262981205134,3.2633965454300666,0.03263396545430067,2.367552601606045,0.47604736634871647,1.5289961730939228,66.66666666666667,13.916666666666666,0.0,0.19999999999999998,True,1.5,1.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,2.5924075924077803,0.055482872728504606,2.579032157830071,0.02579032157830071,2.1513059680181117,0.19467209277041403,1.4810009267840938,83.33333333333333,10.583333333333334,0.0,0.19999999999999998,True,1.0,2.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,3.590409590409672,0.07726262981205134,3.6476646108324595,0.036476646108324594,2.1181396333041347,0.4760473663487228,1.5289961730939272,66.66666666666667,11.583333333333334,0.0,0.19999999999999998,True,1.5,1.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,5.287212787212866,0.11077547565227319,5.477703996029913,0.054777039960299125,2.0222975854949476,0.5793479666726595,1.4905004633920393,63.63636363636363,34.18181818181818,0.0,0.19999999999999998,True,2.5,2.5,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,3.79020979020981,0.08165106136506362,4.174976731817556,0.041749767318175555,1.9557249443523776,0.5073121818354004,1.5753715498938512,72.72727272727273,12.0,0.0,0.19999999999999998,True,1.5,2.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,3.790209790209774,0.0816510613650625,4.194916669449915,0.04194916669449915,1.9464286849771801,0.5073121818353865,1.5753715498938423,72.72727272727273,15.818181818181818,0.0,0.19999999999999998,True,1.5,2.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,3.7902097902099197,0.07973417852681042,4.598538746236543,0.04598538746236543,1.7339025052700727,0.3959253021557884,1.4315286624203956,63.63636363636363,26.09090909090909,0.0,0.19999999999999998,True,2.0,2.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,1.295204795204918,0.027685284138831312,1.758622038007289,0.01758622038007289,1.574260047952189,-0.2693725471697389,1.254440192326592,72.72727272727273,10.0,0.0,0.19999999999999998,True,1.0,1.5,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,3.590409590409654,0.07726262981205068,5.12374874161867,0.0512374874161867,1.5079316669935348,0.3886910469833695,1.4441149212233644,75.0,14.666666666666666,0.0,0.19999999999999998,True,1.5,2.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,3.590409590409745,0.07545232535650159,5.1140349214173115,0.05114034921417312,1.4753971475734589,0.30475018886872757,1.333086190917532,66.66666666666667,24.166666666666668,0.0,0.19999999999999998,True,2.0,2.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,1.7942057942058818,0.03823176904354186,2.5988852973905145,0.025988852973905144,1.4710833556959813,-0.06305801342013824,1.3329008341056756,81.81818181818181,13.727272727272727,0.0,0.19999999999999998,True,1.0,2.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,2.293206793206864,0.048998885596232,3.6937414575540006,0.036937414575540006,1.3265380416928019,0.09275091816371726,1.3378716514571818,63.63636363636363,12.181818181818182,0.0,0.19999999999999998,True,1.5,1.5,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
