timestamp,price
1690315200,29229.85
1690318800,29228.93
1690322400,29206.46
1690326000,29228.91
1690329600,29166.76
1690333200,29131.01
1690336800,29288.57
1690340400,29242.81
1690344000,29201.19
1690347600,29268.12
1690351200,29209.99
1690354800,29216.61
1690358400,29222.66
1690362000,29192.45
1690365600,29192.55
1690369200,29175.39
1690372800,29229.13
1690376400,29306.54
1690380000,29267.54
1690383600,29324.0
1690387200,29302.43
1690390800,29268.9
1690394400,29377.5
1690398000,29401.93
1690401600,29578.09
1690405200,29466.0
1690408800,29476.01
1690412400,29351.96
1690416000,29356.09
1690419600,29399.99
1690423200,29437.81
1690426800,29405.78
1690430400,29488.36
1690434000,29460.0
1690437600,29384.01
1690441200,29412.17
1690444800,29470.82
1690448400,29544.02
1690452000,29479.5
1690455600,29507.03
1690459200,29496.41
1690462800,29446.02
1690466400,29350.0
1690470000,29292.01
1690473600,29274.93
1690477200,29220.0
1690480800,29141.37
1690484400,29163.83
1690488000,29144.56
1690491600,29187.15
1690495200,29202.29
1690498800,29222.78
1690502400,29273.0
1690506000,29260.75
1690509600,29229.99
1690513200,29253.85
1690516800,29260.0
1690520400,29185.99
1690524000,29190.01
1690527600,29140.8
1690531200,29152.0
1690534800,29213.94
1690538400,29218.91
1690542000,29206.59
1690545600,29306.01
1690549200,29293.41
1690552800,29487.41
1690556400,29387.99
1690560000,29361.41
1690563600,29259.36
1690567200,29309.15
1690570800,29316.0
1690574400,29338.48
1690578000,29313.77
1690581600,29292.0
1690585200,29314.14
1690588800,29325.84
1690592400,29382.08
1690596000,29379.08
1690599600,29371.89
1690603200,29380.91
1690606800,29370.42
1690610400,29345.29
1690614000,29295.01
1690617600,29295.44
1690621200,29282.0
1690624800,29282.01
1690628400,29267.16
1690632000,29294.01
1690635600,29293.98
1690639200,29282.74
1690642800,29292.34
1690646400,29308.46
1690650000,29325.57
1690653600,29307.51
1690657200,29338.02
1690660800,29355.23
1690664400,29348.09
1690668000,29352.36
1690671600,29352.9
1690675200,29348.83
1690678800,29326.73
1690682400,29313.34
1690686000,29314.92
1690689600,29325.31
1690693200,29312.94
1690696800,29286.98
1690700400,29294.31
1690704000,29292.52
1690707600,29278.0
1690711200,29278.32
1690714800,29314.0
1690718400,29324.01
1690722000,29287.91
1690725600,29391.81
1690729200,29349.37
1690732800,29380.02
1690736400,29396.52
1690740000,29355.99
1690743600,29202.28
1690747200,29270.96
1690750800,29213.87
1690754400,29156.0
1690758000,29281.09
1690761600,29461.54
1690765200,29451.99
1690768800,29464.53
1690772400,29421.99
1690776000,29404.0
1690779600,29380.02
1690783200,29411.23
1690786800,29373.61
1690790400,29391.3
1690794000,29383.96
1690797600,29389.85
1690801200,29405.99
1690804800,29472.5
1690808400,29363.99
1690812000,29302.45
1690815600,29247.98
1690819200,29232.51
1690822800,29215.99
1690826400,29195.74
1690830000,29157.48
1690833600,29208.27
1690837200,29243.31
1690840800,29209.99
1690844400,29232.25
1690848000,29283.96
