entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason,trade_type,cash_after,position_after,slippage_cost,slippage_pct
1694649600.0,1694700000.0,26626.51602065115,26685.893980899316,0.18314717999347346,10.874905973216235,take_profit1,long,4887.446228206517,0.18314717999347346,8.334299071019611,8.334299071019611
1695920400.0,1696197600.0,27244.03496264906,27919.326635778853,0.1785213840820847,120.55400414623718,take_profit1,long,4984.196833659054,0.1785213840820847,13.764599298144391,13.764599298144391
1697454000.0,1697457600.0,27843.308181750956,27843.02310287379,0.179496514478542,-0.05117066480253417,take_profit1,long,4997.725599511365,0.179496514478542,8.07140130107001,8.07140130107001
1703692800.0,1703707200.0,43175.5912882974,43395.22603798332,0.11420698932227843,25.083823512180725,take_profit1,long,4956.03811675782,0.11420698932227843,5.721080585149912,5.721080585149912
1704146400.0,1704150000.0,43664.16819054798,44116.05167318213,0.11297317217812322,51.05071048807839,take_profit1,long,4983.930301493386,0.11297317217812322,7.173607408617897,7.173607408617897
1711375200.0,1711382400.0,69453.60064455701,70121.14242055741,0.07124572857389781,47.559500184662596,take_profit1,long,4995.831880186665,0.07124572857389781,2.3708853925626165,2.3708853925626165
1712451600.0,1712505600.0,69707.62155998938,69997.26617029692,0.07101260421083586,20.56841807357135,take_profit1,long,4970.688158391825,0.07101260421083586,5.4490690782865085,5.4490690782865085
1714896000.0,1714914000.0,63816.67807419139,64026.92038726504,0.0766429028375192,16.11358117323903,take_profit1,long,4907.2090382267315,0.0766429028375192,7.127760282772349,7.127760282772349
1715785200.0,1715796000.0,64820.593237507084,65672.1268171791,0.0754146895868687,64.21814058376032,take_profit1,long,4952.643058427037,0.0754146895868687,3.405213266297095,3.405213266297095
1720954800.0,1720990800.0,60269.224166558386,61200.36140110835,0.0823398435098017,76.6696941789934,take_profit1,long,5039.2281805105695,0.0823398435098017,6.2577127397028445,6.2577127397028445
1724270400.0,1724428800.0,61363.37350272372,61659.59045627131,0.08090112839116985,23.964285790594886,take_profit1,long,4988.330444049757,0.08090112839116985,5.8572047826565985,5.8572047826565985
1726142400.0,1726156800.0,57803.36364332354,58005.57388931533,0.08728553814054077,17.65003013892496,take_profit1,long,5063.047732079789,0.08728553814054077,5.273452733469539,5.273452733469539
1730829600.0,1730851200.0,70332.82696800747,71049.2541797443,0.0700194763191532,50.163858186603484,take_profit1,long,4974.831570532102,0.0700194763191532,3.275918633465886,3.275918633465886
1735912800.0,1735916400.0,97241.15078741504,97405.3420314186,0.05233662041813414,8.59321481339515,take_profit1,long,5097.866412596882,0.05233662041813414,6.071465017124221,6.071465017124221
1736924400.0,1736946000.0,97427.82956937973,98894.26477169317,0.05357375712854643,78.56244337349116,take_profit1,long,5298.137322284855,0.05357375712854643,3.7359781846139613,3.7359781846139613
1738177200.0,1738180800.0,103751.15125591146,104117.21951820643,0.04929752695268414,18.046260027008433,take_profit1,long,5132.721435437313,0.04929752695268414,3.7816370437714832,3.7816370437714832
1740110400.0,1740132000.0,98420.5705832529,98511.46959832475,0.051754101120149464,4.704396817750282,take_profit1,long,5098.372559086229,0.051754101120149464,5.202860573950073,5.202860573950073
1742756400.0,1742767200.0,85473.18580001961,85145.40217508198,0.05790664446974073,-18.980849832266003,take_profit1,long,4930.484531985561,0.05790664446974073,12.496706991316145,12.496706991316145
1744437600.0,1744462800.0,83675.41995247843,84386.7657814073,0.05791087512751578,41.194659471578895,take_profit1,long,4886.911455582001,0.05791087512751578,4.139134547758763,4.139134547758763
1750096800.0,1750100400.0,108511.82755833406,108530.48761250048,0.04411858743399716,0.8232552312644528,take_profit1,long,4788.211806986448,0.04411858743399716,5.3609548922112635,5.3609548922112635
1750824000.0,1750845600.0,106429.06960502396,106991.71966037764,0.044793806092179346,25.203237477266505,take_profit1,long,4792.566343935769,0.044793806092179346,6.036876460021418,6.036876460021418
